id,sign,type,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index
2,1,area,0.8,0.15,line,data/P2/line/area/S0.15m0.8.png,,0.98,,,91
2,-1,area,0.1,0.15,line,data/P2/line/area/S0.15m-0.1.png,,-0.06,,,92
2,-1,area,0.8,0.15,trig,data/P2/trig/area/S0.15m-0.8.png,,-0.81,,,93
2,-1,area,0.4,0.15,trig,data/P2/trig/area/S0.15m-0.4.png,,-0.44,,,94
2,1,area,0.1,0.15,quad,data/P2/quad/area/S0.15m0.1.png,,0,,,95
2,1,area,0.2,0.15,line,data/P2/line/area/S0.15m0.2.png,,0.3,,,96
2,1,area,0.4,0.15,quad,data/P2/quad/area/S0.15m0.4.png,,0.48,,,97
2,-1,areatrend,0.4,0.15,line,data/P2/line/areatrend/S0.15m-0.4.png,1,-0.39,,,98
2,-1,area,0.2,0.15,trig,data/P2/trig/area/S0.15m-0.2.png,,-0.22,,,99
3,-1,line,0.1,0.1,trig,data/P3/trig/line/S0.1m-0.1.png,,-0.12,,,0
3,-1,line,0.2,0.1,quad,data/P3/quad/line/S0.1m-0.2.png,,-0.1,,,1
3,1,line,0.1,0.1,line,data/P3/line/line/S0.1m0.1.png,,0.09,,,2
3,-1,line,0.8,0.1,line,data/P3/line/line/S0.1m-0.8.png,,-0.84,,,3
3,1,line,0.2,0.1,quad,data/P3/quad/line/S0.1m0.2.png,,0.22,,,4
3,1,line,0.4,0.1,trig,data/P3/trig/line/S0.1m0.4.png,,0.41,,,5
3,1,line,0.8,0.1,quad,data/P3/quad/line/S0.1m0.8.png,,0.84,,,6
3,-1,line,0.4,0.1,trig,data/P3/trig/line/S0.1m-0.4.png,,-0.35,,,7
3,-1,line,0.1,0.15,line,data/P3/line/line/S0.15m-0.1.png,,-0.19,,,8
3,-1,line,0.2,0.15,quad,data/P3/quad/line/S0.15m-0.2.png,,-0.19,,,9
3,-1,linetrend,0.1,0.15,quad,data/P3/quad/linetrend/S0.15m-0.1.png,1,-0.03,,,10
3,1,line,0.1,0.15,line,data/P3/line/line/S0.15m0.1.png,,0.05,,,11
3,-1,line,0.8,0.15,trig,data/P3/trig/line/S0.15m-0.8.png,,-0.83,,,12
3,1,line,0.2,0.15,quad,data/P3/quad/line/S0.15m0.2.png,,0.3,,,13
3,1,line,0.4,0.15,trig,data/P3/trig/line/S0.15m0.4.png,,0.39,,,14
3,1,line,0.8,0.15,line,data/P3/line/line/S0.15m0.8.png,,0.83,,,15
3,-1,line,0.4,0.15,line,data/P3/line/line/S0.15m-0.4.png,,-0.3,,,16
3,-1,line,0.1,0.05,line,data/P3/line/line/S0.05m-0.1.png,,-0.12,,,17
3,-1,line,0.2,0.05,quad,data/P3/quad/line/S0.05m-0.2.png,,-0.2,,,18
3,1,line,0.1,0.05,line,data/P3/line/line/S0.05m0.1.png,,0.09,,,19
3,-1,line,0.8,0.05,quad,data/P3/quad/line/S0.05m-0.8.png,,-0.77,,,20
3,1,line,0.2,0.05,line,data/P3/line/line/S0.05m0.2.png,,0.22,,,21
